trans_encoder,landmark_pinger,gps,polar_encoder
"(np.float64(-0.5013383136573837), np.float64(1.7154003316926316), 0.039293180446437315)",,"(np.float64(48.76637496457395), np.float64(6.297193381997546))","(1.7241216625813267, 0.05722659246121634)"
"(np.float64(-0.5058176042069126), np.float64(1.66250296037644), 0.10693064639112125)",,"(np.float64(49.29342007108472), np.float64(6.377963642709266))","(1.8887413503475639, 0.0901931238558689)"
"(np.float64(-0.47998412849042416), np.float64(1.7269335680897364), 0.13007563561849836)",,"(np.float64(49.694656140462506), np.float64(6.455895937341414))","(1.7469902619109958, 0.045659685986365085)"
"(np.float64(-0.6004322463705402), np.float64(1.764859782946415), 0.05605202166546386)",,"(np.float64(49.532877485850456), np.float64(5.86309535814061))","(1.815034790732045, 0.04929837670230618)"
"(np.float64(-0.4363833484173358), np.float64(1.7533224285336741), 0.16375672423571802)",,"(np.float64(49.37165798132332), np.float64(7.025355150050911))","(1.8561178928070654, 0.07316749597009481)"
"(np.float64(-0.5896763818875201), np.float64(1.779710627256079), 0.06265519433861223)",,"(np.float64(48.75155487651403), np.float64(7.146969717065795))","(1.7364991507809524, 0.06273717586650944)"
"(np.float64(-0.5208129664224818), np.float64(1.6934088734869714), 0.1178869175966504)",,"(np.float64(49.063487103020684), np.float64(6.796310359828606))","(1.8034515912919586, 0.08015757735839453)"
"(np.float64(-0.5980824783415932), np.float64(1.6178365990406256), 0.045990409852511925)","{2: (34.64886877468411, 0.6560751993605318)}","(np.float64(48.53856452561211), np.float64(8.836675848768422))","(1.8377117655407242, 0.009651449812852667)"
"(np.float64(-0.6213262713273437), np.float64(1.7759160631784343), 0.08098177179965341)",,"(np.float64(47.44801768494793), np.float64(8.499336997732481))","(1.804421347826236, 0.10850352333683229)"
"(np.float64(-0.6911641466067163), np.float64(1.7256096760799249), 0.11689429755082154)",,"(np.float64(48.11629827111143), np.float64(7.0321875909784435))","(1.8674348559555294, 0.1043300136868808)"
"(np.float64(-0.6062647528400428), np.float64(1.6488492419958982), 0.07947528299995689)",,"(np.float64(48.09852786619579), np.float64(8.452109547390933))","(1.767909230068351, 0.0768671138746591)"
"(np.float64(-0.6485420514561658), np.float64(1.6985033127118847), 0.07610073566381831)",,"(np.float64(48.765868336388586), np.float64(8.077992651053783))","(1.8367744831067747, 0.1310060671969519)"
"(np.float64(-0.656573999510115), np.float64(1.6339257648895362), 0.07162173189767425)",,"(np.float64(48.5100856810509), np.float64(7.724836897294096))","(1.7654616823831666, 0.00795349675218901)"
"(np.float64(-0.7951235155975792), np.float64(1.7860799818896265), 0.06854464858878366)",,"(np.float64(49.105390276931416), np.float64(8.233783703061864))","(1.7978276056480123, 0.11149490755683525)"
"(np.float64(-0.6338999310528798), np.float64(1.6662162772777056), 0.10665967893722636)",,"(np.float64(48.13835974585203), np.float64(8.226883925535587))","(1.7234168690754947, 0.08592737517588159)"
"(np.float64(-0.7216750582537711), np.float64(1.6599500557112266), 0.05596190665886493)",,"(np.float64(48.90618252753387), np.float64(8.668485336462881))","(1.8922908866567514, 0.08870992380119033)"
"(np.float64(-0.7288158407745365), np.float64(1.60697297277335), 0.07874726171087211)",,"(np.float64(48.36967736413211), np.float64(9.198555269223762))","(1.8824077304295896, 0.06486172003454364)"
"(np.float64(-0.806348662814362), np.float64(1.6150775418111376), 0.07831945136974429)",,"(np.float64(48.12098291154882), np.float64(9.496809465129827))","(1.8125892934361538, 0.11385428755400712)"
"(np.float64(-0.7278580632459137), np.float64(1.6704566358825539), 0.08698905732658051)","{2: (30.91099489380524, 0.3713387691344186)}","(np.float64(47.54214318541208), np.float64(8.434661364834275))","(1.880745885809391, 0.11507170304262558)"
"(np.float64(-0.7498672491634851), np.float64(1.6859486169513653), 0.10925510358197495)",,"(np.float64(47.14645693287363), np.float64(9.751283444097224))","(1.7331212659770363, 0.06402559538608998)"
"(np.float64(-0.7329165630687108), np.float64(1.6116773291787463), 0.07304122957389071)",,"(np.float64(47.32504991259523), np.float64(9.909952102994517))","(1.8088442945017034, 0.08542970195778428)"
"(np.float64(-0.7580871694269983), np.float64(1.5920776321345058), 0.020314706579772204)",,"(np.float64(48.02376368027913), np.float64(11.066974617938278))","(1.785656605308354, 0.07860601342899241)"
"(np.float64(-0.7280900154922227), np.float64(1.5992671619133332), 0.07746059449044805)",,"(np.float64(46.97315195711945), np.float64(10.373086087683577))","(1.9025088743960044, 0.10059752909229924)"
"(np.float64(-0.7096108859871229), np.float64(1.599656691584023), 0.09584618984001175)",,"(np.float64(47.147173163022316), np.float64(10.601676332030804))","(1.7907128029111228, 0.07003522193885854)"
"(np.float64(-0.8748731229029292), np.float64(1.6891845443678302), 0.08784215173074639)",,"(np.float64(47.26778830930407), np.float64(9.751828952352565))","(1.8051584974535202, 0.0864047822102248)"
"(np.float64(-0.8000427121682355), np.float64(1.5607585623980702), 0.11478035422677482)",,"(np.float64(48.07973122922746), np.float64(9.739024674580358))","(1.8282564672053316, 0.12914434365552907)"
"(np.float64(-0.8813448450548552), np.float64(1.531332071569682), 0.07411845359290554)",,"(np.float64(46.402465819659625), np.float64(10.783702826979253))","(1.814983232500457, 0.025200838125612204)"
"(np.float64(-0.7936871675494453), np.float64(1.5784627610330686), 0.09270756504346522)",,"(np.float64(47.53334214602904), np.float64(10.979592563606799))","(1.7854881964018163, 0.06385143966466378)"
"(np.float64(-0.8477843799063706), np.float64(1.429802817071547), 0.06124417258388502)",,"(np.float64(45.85496818362426), np.float64(10.861719617536975))","(1.733478764593228, 0.0712431469599713)"
"(np.float64(-0.824393878736334), np.float64(1.5574986642670108), 0.08186972434846851)","{1: (36.9024732953458, -0.8883502326580797), 2: (32.1958113457634, 0.6323727856316244)}","(np.float64(46.976514225124525), np.float64(11.451414828814316))","(1.8065528562174469, 0.12947574302247725)"
"(np.float64(-0.9256793709321289), np.float64(1.6187179904768683), 0.10318780667313461)",,"(np.float64(47.268023895894366), np.float64(11.706816964032873))","(1.8234531273087118, 0.0639208656264248)"
"(np.float64(-1.0115083163704288), np.float64(1.5409173433840506), 0.0818390976870391)",,"(np.float64(47.38048346870252), np.float64(11.04314659082926))","(1.7885886079277682, 0.07786491625013614)"
"(np.float64(-0.8659275489846606), np.float64(1.5394238360369996), 0.09690780693685606)",,"(np.float64(47.03827373170082), np.float64(11.55022719177906))","(1.7988015595443037, 0.08539668509642215)"
"(np.float64(-0.9321705909788334), np.float64(1.551544110643572), 0.09536776069849034)",,"(np.float64(46.84574367942161), np.float64(11.345362667843688))","(1.7404695700588813, 0.04180842770963799)"
"(np.float64(-0.9479050112778014), np.float64(1.5294598868426816), 0.062034298967943505)",,"(np.float64(47.343306751602675), np.float64(11.038088027572996))","(1.6920784879119102, 0.04807368860277054)"
"(np.float64(-0.9762803599380437), np.float64(1.5395174404869476), 0.10789263721406911)",,"(np.float64(45.53191015203693), np.float64(11.860570195506817))","(1.8357123927348122, 0.07822345277711334)"
"(np.float64(-0.9455253452853186), np.float64(1.5414552348188095), 0.08563114624188613)",,"(np.float64(45.957098988575446), np.float64(12.076922932646186))","(1.856626571675892, 0.09466642948965678)"
"(np.float64(-0.9639783404963818), np.float64(1.4501204299179917), 0.058295342998070016)",,"(np.float64(46.43790938258973), np.float64(13.078333390551158))","(1.9063253350365172, 0.05694702542925322)"
"(np.float64(-1.0061503422335747), np.float64(1.434047808267234), 0.1105391366031701)",,"(np.float64(46.34373562807347), np.float64(12.104806931042155))","(1.8806638470166115, 0.10713255021173149)"
"(np.float64(-1.0129597503091823), np.float64(1.4657550102660921), 0.09290026303078718)",,"(np.float64(46.7383105254149), np.float64(13.447277584781999))","(1.7794550319210312, 0.08455623067394355)"
"(np.float64(-0.9385613577029147), np.float64(1.405792828902139), 0.10020319840390902)","{1: (38.009237515060725, -0.7215443415931445), 2: (27.616989178673187, 0.20092069665465595)}","(np.float64(46.07869515002815), np.float64(13.41219372032786))","(1.831421863129231, 0.09416534429067866)"
"(np.float64(-1.1017109458395844), np.float64(1.4580295672238133), 0.08184754876135292)",,"(np.float64(46.455521650441185), np.float64(12.842793802395734))","(1.8887359247651196, 0.06520765880475782)"
"(np.float64(-1.1102434171773723), np.float64(1.5887729071039591), 0.10528406253539643)",,"(np.float64(46.5774413292517), np.float64(12.88522761975699))","(1.8027088602500105, 0.11732128819876886)"
"(np.float64(-1.1329746006092984), np.float64(1.4563337510351764), 0.09939681308883073)",,"(np.float64(46.086245829204984), np.float64(12.838146507808181))","(1.7675217184474092, 0.06408817478363998)"
"(np.float64(-0.9894543221675323), np.float64(1.4123339604038592), 0.056617924150349615)",,"(np.float64(45.529900961089325), np.float64(13.13667017467706))","(1.748209969696184, 0.09493927180154124)"
"(np.float64(-0.949078472409153), np.float64(1.4528728626801846), 0.09762099731838474)",,"(np.float64(44.81445137082125), np.float64(13.88176678027701))","(1.8104342981637824, 0.058656897735615304)"
"(np.float64(-1.0765900339004086), np.float64(1.4338880102889753), 0.05953887965122075)",,"(np.float64(44.549002998641214), np.float64(13.251729518668412))","(1.7018008188265015, 0.041121410283793326)"
"(np.float64(-1.072452179292605), np.float64(1.3658568413219014), 0.09446393666462222)",,"(np.float64(44.031070659694166), np.float64(12.175832370257952))","(1.7999105691721287, 0.032385431356804335)"
"(np.float64(-1.133516290031357), np.float64(1.4045581845833657), 0.07094985299858547)",,"(np.float64(44.73533713960051), np.float64(13.617105751411279))","(1.7701120450578272, 0.09853613886592376)"
"(np.float64(-1.133247038794227), np.float64(1.4289284253683243), 0.12672205592000357)",,"(np.float64(44.63113256761631), np.float64(14.267970180238896))","(1.8548544270318763, 0.0764453857243372)"
"(np.float64(-1.1299619109039982), np.float64(1.3252266546444686), 0.10198366804002376)",,"(np.float64(43.2495642064675), np.float64(14.921206819798341))","(1.7409606528156572, 0.09050256477626843)"
"(np.float64(-1.1830437210096465), np.float64(1.4079744139362944), 0.08452376929251268)","{1: (35.61258533261543, -0.8994587914784667), 2: (28.005941420809553, 0.38473661646430446)}","(np.float64(45.33505055838213), np.float64(14.486385735981967))","(1.7352717617815943, 0.060060927897813685)"
"(np.float64(-1.160444179657111), np.float64(1.4013143806806891), 0.0679104792669075)",,"(np.float64(43.68416294721115), np.float64(13.919981907554778))","(1.7484405942561132, 0.07566881659845366)"
"(np.float64(-1.1997289734474927), np.float64(1.3876463986725853), 0.11312278575407596)",,"(np.float64(45.166381568198204), np.float64(14.935323928935125))","(1.7954834781139342, 0.0860626121802161)"
"(np.float64(-1.2851431914200093), np.float64(1.407791877039763), 0.09217981048939308)",,"(np.float64(44.00125778162547), np.float64(14.842226993255478))","(1.8247846907197363, 0.10765050261433036)"
"(np.float64(-1.0987420070458938), np.float64(1.3170928795809376), 0.08158186565536947)",,"(np.float64(44.87854030550355), np.float64(13.765659226195389))","(1.698175701430615, 0.11647364441376683)"
"(np.float64(-1.2017738511068659), np.float64(1.3184502135877327), 0.08068124928859258)",,"(np.float64(45.14649930542433), np.float64(14.900299809547755))","(1.827363393414652, 0.08870873853043086)"
"(np.float64(-1.2274517521980115), np.float64(1.356780655950783), 0.08167711169501804)",,"(np.float64(43.946824079429796), np.float64(15.539520740393321))","(1.7570702871799204, 0.04282682064929359)"
"(np.float64(-1.2328470848701787), np.float64(1.3436068664442118), 0.07621245609748613)",,"(np.float64(44.27093172775801), np.float64(14.9895346082076))","(1.8530448934999324, 0.04115389598814645)"
"(np.float64(-1.1672186477849245), np.float64(1.2943336861840422), 0.08637403569034192)",,"(np.float64(43.148301593405826), np.float64(15.151526590062838))","(1.8108102202828864, 0.07787243647897535)"
"(np.float64(-1.2582668669986252), np.float64(1.2225258063680084), 0.06871277137072375)",,"(np.float64(43.17418461578435), np.float64(14.890815365198119))","(1.7990803174778323, 0.11684345832031023)"
"(np.float64(-1.2158062172417712), np.float64(1.222643858765923), 0.07843321135521585)",,"(np.float64(44.41223377354343), np.float64(15.239384319452004))","(1.781935563159201, 0.04174912129541391)"
"(np.float64(-1.194983674069554), np.float64(1.2507687158483214), 0.006812336478937614)","{1: (32.440912603593084, -0.8155261450310705), 2: (22.90780088548422, 0.08187196113301387)}","(np.float64(43.157421584481234), np.float64(15.843843587497235))","(1.8266212400971211, 0.08252516732080489)"
"(np.float64(-1.1748596640999258), np.float64(1.3351854226895554), 0.030412951277297567)",,"(np.float64(43.817413906359995), np.float64(16.062656334638454))","(1.8363463910403102, 0.0704707907602157)"
"(np.float64(-1.1970382027658675), np.float64(1.2406030589600379), 0.060830053161186295)",,"(np.float64(43.10706508067224), np.float64(17.101644578262217))","(1.7027967362684076, 0.07363497201651821)"
"(np.float64(-1.3395650169465492), np.float64(1.3116212164687326), 0.026207782527153403)",,"(np.float64(44.32756533316129), np.float64(15.437691229375911))","(1.8387661064801728, 0.14433123957493404)"
"(np.float64(-1.2753356979644432), np.float64(1.179679204695481), 0.07815261236172737)",,"(np.float64(44.11896647824715), np.float64(16.599217188793226))","(1.7407247466807003, 0.07800377410682811)"
"(np.float64(-1.3485493861810274), np.float64(1.1842695492960869), 0.07850564572263523)",,"(np.float64(43.04201276764744), np.float64(16.94766528791297))","(1.8124339907819509, 0.08881872755998889)"
"(np.float64(-1.2315688933621174), np.float64(1.1513579405513488), 0.015682872309577517)",,"(np.float64(43.36911112137326), np.float64(16.18875614815352))","(1.8608066215923083, 0.09469942666186791)"
"(np.float64(-1.3250734532854496), np.float64(1.2505800832701983), 0.06773179831087554)",,"(np.float64(43.194849528023994), np.float64(16.243636782204725))","(1.6976692469897865, 0.10902557635626575)"
"(np.float64(-1.396858211512086), np.float64(1.1781008435676834), 0.029424980599804786)",,"(np.float64(42.430434994599345), np.float64(16.287152806200147))","(1.7205539427362697, 0.025152506375384825)"
"(np.float64(-1.366796418131155), np.float64(1.2165538055874199), 0.09023840844383224)",,"(np.float64(43.280331601084335), np.float64(17.222667295997674))","(1.8519752376751402, 0.09855008614969207)"
"(np.float64(-1.407983913047709), np.float64(1.0734445026446626), 0.09200612268654428)",,"(np.float64(41.774459085286054), np.float64(17.90988808478409))","(1.8506088208972908, 0.060661624983246676)"
"(np.float64(-1.3684833984955385), np.float64(1.1098056590986523), 0.09474966212054635)","{1: (33.176787032941874, -1.1484281141882433), 2: (21.988489477438332, 0.10413263090274683)}","(np.float64(42.622694898050696), np.float64(16.685207668629683))","(1.8770863499672144, 0.026671171466956738)"
"(np.float64(-1.3631528583006571), np.float64(1.1401344819563142), 0.15160130916308415)",,"(np.float64(42.13892513271063), np.float64(17.23898089113133))","(1.8615014318621597, 0.07456467838153094)"
"(np.float64(-1.3157031272931938), np.float64(1.175679753353336), 0.03770926682856993)",,"(np.float64(41.689801813983685), np.float64(17.274551106543512))","(1.6753713812343296, 0.07443712688932441)"
"(np.float64(-1.4172743491333861), np.float64(1.145993406777327), 0.05509973566022543)",,"(np.float64(40.97058940995378), np.float64(17.034920472654598))","(1.86219263882967, 0.061566590104192825)"
"(np.float64(-1.3687375802773918), np.float64(1.2200972094010374), 0.03352684946380146)",,"(np.float64(41.40947949774333), np.float64(16.9681701629297))","(1.8073357589536534, 0.09231971823139182)"
"(np.float64(-1.4038445664342267), np.float64(1.1809115675200923), 0.08190000464781144)",,"(np.float64(41.03941779116006), np.float64(17.82715839217422))","(1.7749282551270038, 0.021720541085932923)"
"(np.float64(-1.4818529263753593), np.float64(1.0665893641381143), 0.1322181186120372)",,"(np.float64(40.954524100932666), np.float64(17.603458369137343))","(1.7125889307783035, 0.04700785650842742)"
"(np.float64(-1.4123111239761914), np.float64(1.0141285688597117), 0.06763924256306601)",,"(np.float64(40.71132508743385), np.float64(17.909987534183607))","(1.7916481146547416, 0.03827770652625578)"
"(np.float64(-1.4451403584529119), np.float64(1.1282306941555444), 0.07602667503114743)",,"(np.float64(39.48046280892696), np.float64(17.676054450254647))","(1.7680765374971668, 0.12182551273041345)"
"(np.float64(-1.428343374046292), np.float64(1.0550673427026853), 0.07645215342661257)",,"(np.float64(40.78629443208925), np.float64(18.050064928147183))","(1.8207445977036887, 0.07680829383736412)"
"(np.float64(-1.4911358046699648), np.float64(0.9803071941577296), 0.12494699792966632)",,"(np.float64(40.31519755604047), np.float64(18.494948870249345))","(1.8619299659440844, 0.1079522669686705)"
"(np.float64(-1.4272567389541033), np.float64(1.0363060741821501), 0.0736184871726707)","{1: (34.82442666607216, -1.519153402811078), 2: (19.75286697473658, -0.15779621137267966)}","(np.float64(40.60762923795717), np.float64(17.4435725454452))","(1.7906400633392088, 0.09822024828534476)"
"(np.float64(-1.3762617131898593), np.float64(1.0611807893136553), 0.04586256758736591)",,"(np.float64(39.95182616776725), np.float64(18.465140479028687))","(1.7412625648894302, 0.07244673862807041)"
"(np.float64(-1.5420750088960775), np.float64(1.073755853650942), 0.08292353094015932)",,"(np.float64(39.95430285358195), np.float64(18.68646837533579))","(1.7633426677733381, 0.038673027028191795)"
"(np.float64(-1.532785889339745), np.float64(1.062095406129981), 0.042463682773180786)",,"(np.float64(40.05795574718473), np.float64(19.25471355643601))","(1.732849748153641, 0.13154117709837948)"
"(np.float64(-1.4159744307000257), np.float64(1.0205467394002332), 0.11264872244207369)",,"(np.float64(39.92883600050021), np.float64(19.34265892416664))","(1.7783324670212788, 0.060986408802975664)"
"(np.float64(-1.50093969858439), np.float64(1.004365660691631), 0.05939793573579902)",,"(np.float64(40.26008056892225), np.float64(19.24423548188067))","(1.7736684758777341, 0.06119230295419331)"
"(np.float64(-1.5010819293739228), np.float64(0.9889950833976976), 0.09021283700141425)",,"(np.float64(40.28751400333067), np.float64(19.6244076634505))","(1.7511567555089418, 0.0895148022414819)"
"(np.float64(-1.4833364577662527), np.float64(0.9645650399469214), 0.03970096911256087)",,"(np.float64(39.273936032571136), np.float64(19.2232604674653))","(1.8254466125697288, 0.11984864643772061)"
"(np.float64(-1.4999480265380678), np.float64(0.951259848293993), 0.03216156683750438)",,"(np.float64(39.31750798062898), np.float64(19.35024222776194))","(1.754669016720412, 0.05879507469776676)"
"(np.float64(-1.5195910724783315), np.float64(0.9680471391498028), 0.05006663239050913)",,"(np.float64(38.412076490327735), np.float64(19.269333982823337))","(1.866293075922363, 0.047393614448896976)"
"(np.float64(-1.6056344359976666), np.float64(0.8190120422627913), 0.06282594979718262)",,"(np.float64(38.79284059262001), np.float64(19.168618461948366))","(1.75915402607022, 0.06971437521799911)"
"(np.float64(-1.5048284545223525), np.float64(0.9366857191303936), 0.09771131612349726)","{1: (33.16653976086324, -1.211698676219255), 2: (18.49127304112684, -0.16677859855413227)}","(np.float64(39.295029050521634), np.float64(18.9820482122948))","(1.7593322572851342, 0.05735658081515506)"
