trans_encoder,landmark_pinger,gps,polar_encoder
"(np.float64(-1.6124411363876427), np.float64(0.63555417554902), 0.08431908119466588)",,"(np.float64(37.70902786087503), np.float64(20.621546370328005))","(1.8074416002753357, 0.049603848888041195)"
"(np.float64(-1.7109248662788634), np.float64(0.7417944543843423), 0.08179611970175898)",,"(np.float64(36.440749643094996), np.float64(20.7719109830538))","(1.8310487080949316, 0.08164288212237547)"
"(np.float64(-1.6703084071072765), np.float64(0.731374265468714), 0.061220128160038516)",,"(np.float64(36.98535376766222), np.float64(20.55569558543823))","(1.8408247308203, 0.10105726861356032)"
"(np.float64(-1.6336409880792047), np.float64(0.6019991727927949), 0.056029328808980386)",,"(np.float64(35.65357930994779), np.float64(20.779691799400585))","(1.7689971991428366, 0.10858124319383461)"
"(np.float64(-1.7281897168804927), np.float64(0.6015206831538866), 0.05837963510107215)",,"(np.float64(36.05065354799394), np.float64(21.473933644710144))","(1.7829018845499829, 0.09323791498513927)"
"(np.float64(-1.6205248688528293), np.float64(0.6167428559298939), 0.03611330449011938)",,"(np.float64(35.79385290884143), np.float64(20.23791163589469))","(1.8383911263190098, 0.04355298189699805)"
"(np.float64(-1.6628045073311981), np.float64(0.6137277359871459), 0.08571638158057131)","{1: (30.690017428313656, -1.724471713714346), 2: (12.972458800029306, -0.39125072214716394)}","(np.float64(34.49399502242966), np.float64(20.77338120097361))","(1.7591571682264209, 0.11329608861022494)"
"(np.float64(-1.6117207724643745), np.float64(0.6960668784054984), 0.08028288059865761)",,"(np.float64(34.62032771707461), np.float64(21.327783916508825))","(1.793988674735063, 0.11355833618963676)"
"(np.float64(-1.7181612769009853), np.float64(0.6660080362315514), 0.06968830569877735)",,"(np.float64(35.79131311585069), np.float64(20.845675264162523))","(1.756567880009671, 0.08325228087263317)"
"(np.float64(-1.7583484944882894), np.float64(0.6171102490700631), 0.09140789593650321)",,"(np.float64(35.337646405694315), np.float64(21.14463522061651))","(1.689764221313015, 0.0950793798910983)"
"(np.float64(-1.7695446856456014), np.float64(0.5963676384419316), 0.10378604384361649)",,"(np.float64(34.89597074839726), np.float64(21.221529230937218))","(1.8071859267649908, 0.06252227675730719)"
"(np.float64(-1.66583196913305), np.float64(0.592379924953472), 0.08757948105018708)",,"(np.float64(34.41166391315283), np.float64(21.905104383973747))","(1.7976823782697526, 0.1430261085408523)"
"(np.float64(-1.6645381929035672), np.float64(0.5763276893136995), 0.1022779995017996)",,"(np.float64(34.581730580360635), np.float64(21.562859719251026))","(1.790531656377618, 0.03684190894542247)"
"(np.float64(-1.6647287649988591), np.float64(0.579966431296439), 0.01944918738855269)",,"(np.float64(33.825762786941766), np.float64(21.93667603532804))","(1.8372271051584892, 0.10452022381788023)"
"(np.float64(-1.7177318695441668), np.float64(0.49528765458603125), 0.08660372455423523)",,"(np.float64(34.500754387541015), np.float64(21.622701508559306))","(1.8368283416157445, 0.11037093972250353)"
"(np.float64(-1.7011721965531443), np.float64(0.5329316027366123), 0.11420467016113352)",,"(np.float64(33.791608810423426), np.float64(21.26184385775252))","(1.7317970551764725, 0.08603956737856938)"
"(np.float64(-1.7240311090949116), np.float64(0.4787820453120815), 0.08662325632518007)",,"(np.float64(33.82987680200755), np.float64(22.299834304501292))","(1.7334143574170713, 0.08590375437389881)"
"(np.float64(-1.8098143620976066), np.float64(0.42803577384814323), 0.0916249206371489)","{1: (34.0040583177405, -1.9301458615642266), 2: (12.123541307975248, -0.5023601111632453)}","(np.float64(32.8881032930851), np.float64(21.590430536005634))","(1.7488847276192763, 0.05442311984507958)"
"(np.float64(-1.6755061145426846), np.float64(0.39144679657991643), 0.08753688476534568)",,"(np.float64(32.44015366640348), np.float64(22.552534287282878))","(1.756678925430628, 0.0753603078921497)"
"(np.float64(-1.7916350789071536), np.float64(0.47953586399551545), 0.10533408047789626)",,"(np.float64(33.141930315577454), np.float64(22.39659289907373))","(1.791485958380857, 0.06595274775567246)"
"(np.float64(-1.8261640664971652), np.float64(0.3853408428799334), 0.07391183504376295)",,"(np.float64(31.975639302203618), np.float64(22.009369159843885))","(1.8866223707999836, 0.05111825840602499)"
"(np.float64(-1.7079031078045614), np.float64(0.401634078195716), 0.10993211912836548)",,"(np.float64(32.88593748596398), np.float64(22.347398556995625))","(1.8700537018797785, 0.05380927357251146)"
"(np.float64(-1.7125909167241593), np.float64(0.41154175111862523), 0.07564572155320418)",,"(np.float64(32.78953574652675), np.float64(22.506086740129984))","(1.8319577899183481, 0.09805772391081727)"
"(np.float64(-1.7274348899604521), np.float64(0.45681755508491373), 0.039901340034110146)",,"(np.float64(31.657227626027108), np.float64(21.804370645375293))","(1.8450665656388998, 0.1250952655335358)"
"(np.float64(-1.7775883462289364), np.float64(0.4230717048483865), 0.1275315576731231)",,"(np.float64(32.084809454563064), np.float64(21.78161391364044))","(1.834163739887576, 0.11780563817084129)"
"(np.float64(-1.6597235219360658), np.float64(0.346181109280949), 0.07479868916192539)",,"(np.float64(32.31303551793333), np.float64(22.519098231962822))","(1.8104208202484429, 0.06028327049378627)"
"(np.float64(-1.7595147710859151), np.float64(0.3116845223804939), 0.06562702658238032)",,"(np.float64(32.48344981718564), np.float64(23.11803912374706))","(1.8273640650171905, 0.15007068971770968)"
"(np.float64(-1.6830100294664507), np.float64(0.2816410440248932), 0.06426406962196304)","{1: (30.453286347766664, -1.812812248053304), 2: (10.455880159573503, -0.5919426596735802)}","(np.float64(31.708742327947057), np.float64(22.295225856020487))","(1.846524412175572, 0.030879645920860253)"
"(np.float64(-1.7487912732625626), np.float64(0.32294051122352196), 0.09500899287178916)",,"(np.float64(31.958827391545164), np.float64(22.2270275731628))","(1.7784602528805158, 0.02583852467642865)"
"(np.float64(-1.802321141606986), np.float64(0.2838047359689535), 0.07847104132254218)",,"(np.float64(31.700365503912288), np.float64(22.75493675151591))","(1.779972373682503, 0.08400980079462095)"
"(np.float64(-1.7472658608250784), np.float64(0.22637279850973074), 0.033268273024143404)",,"(np.float64(30.507941091713445), np.float64(23.149612203908116))","(1.8456793049660507, 0.1132465454953249)"
"(np.float64(-1.7541570448141428), np.float64(0.23628086217722905), 0.08013684219887572)",,"(np.float64(31.2310014952554), np.float64(22.509434621122082))","(1.8408382138578543, 0.08134421519413379)"
"(np.float64(-1.7806477596330421), np.float64(0.2513171667769296), 0.049686499776354726)",,"(np.float64(31.5145986747936), np.float64(22.20628704827615))","(1.8862083047575708, 0.0933787569044481)"
"(np.float64(-1.785645532481512), np.float64(0.27846545102018444), 0.054814256354761934)",,"(np.float64(31.127502662602886), np.float64(21.866704411604832))","(1.8087867549694436, 0.07963714646666685)"
"(np.float64(-1.7458508702402225), np.float64(0.22333641440610247), 0.04748892880740681)",,"(np.float64(31.11669895493976), np.float64(22.386206564722393))","(1.841661582668984, 0.09454789609519514)"
"(np.float64(-1.8985505439950832), np.float64(0.24533264431766824), 0.06348141936729153)",,"(np.float64(31.025246946770583), np.float64(23.018291006257733))","(1.8232639383487268, 0.07656789627515927)"
"(np.float64(-1.7218272330104594), np.float64(0.25012472103243594), 0.14527770889510055)",,"(np.float64(29.607840678250128), np.float64(22.809248787683515))","(1.810410968995243, 0.10287480917299881)"
"(np.float64(-1.645825649405673), np.float64(0.22576630131706582), 0.05385895449062844)","{1: (34.61711847112783, -1.847101226837574), 2: (9.312538611237782, -1.1496836437522266)}","(np.float64(29.694453515757814), np.float64(22.070535791519962))","(1.856165394479813, 0.03031988505204903)"
"(np.float64(-1.7611046221037046), np.float64(0.1282741403797149), 0.10859030513490026)",,"(np.float64(29.717424898820152), np.float64(21.947083899065742))","(1.7761169457625983, 0.06854102899933755)"
"(np.float64(-1.7430759155178166), np.float64(0.19394950221366883), 0.07492559309869926)",,"(np.float64(30.71233328614396), np.float64(21.898332718707582))","(1.814740237330094, 0.06044294021356361)"
"(np.float64(-1.776054342158937), np.float64(0.14515046385257616), 0.07191483798373786)",,"(np.float64(29.563406249496655), np.float64(21.788693972401212))","(1.8417024411024163, 0.15382025850640493)"
"(np.float64(-1.8007943349633901), np.float64(0.18702691625179707), 0.08877822417286726)",,"(np.float64(30.013058511673172), np.float64(22.18294984431423))","(1.7586336654718437, 0.083841060678751)"
"(np.float64(-1.7710861541647713), np.float64(0.12849037216006592), 0.05440359720185538)",,"(np.float64(29.486875969520632), np.float64(22.508848743017186))","(1.8310141734468985, 0.1152822776472752)"
"(np.float64(-1.7835467111116416), np.float64(0.04970677110478153), 0.11646066532026643)",,"(np.float64(29.383207518215485), np.float64(23.463218458545875))","(1.8657928313965608, 0.05129466991784529)"
"(np.float64(-1.8138109558615023), np.float64(0.16425613515923448), 0.15617671794898083)",,"(np.float64(29.88775339549928), np.float64(22.71318918269129))","(1.7540748836359952, 0.061220958317131036)"
"(np.float64(-1.8069808539685894), np.float64(0.04305460674890403), 0.14499571340927508)",,"(np.float64(29.694490659969073), np.float64(21.38176384085177))","(1.71696941883446, 0.0732647258971302)"
"(np.float64(-1.8848155355791254), np.float64(-0.01304097083327159), 0.057560988166417484)",,"(np.float64(29.66951177654811), np.float64(22.633080792612727))","(1.8472588460275963, 0.02004768056563829)"
"(np.float64(-1.7431717015752048), np.float64(0.1003131011168116), 0.10093171166925256)","{1: (36.42672698085517, -2.0708133936370103), 2: (8.250312158144341, -1.1089563475837667)}","(np.float64(29.991109590866586), np.float64(22.31364467712743))","(1.7689629791952772, 0.07321081559911212)"
"(np.float64(-1.820149200212607), np.float64(-0.03551268749158328), 0.13637994423070984)",,"(np.float64(30.49369768816492), np.float64(22.31902485153448))","(1.8054123012638783, 0.01276361850491961)"
"(np.float64(-1.8108811093951627), np.float64(0.003545046765340617), 0.08974932626026964)",,"(np.float64(29.864273413963755), np.float64(22.80124194098925))","(1.6819509108108603, 0.10611513716200635)"
"(np.float64(-1.734781670669715), np.float64(-0.04969485468979206), 0.13286194751463654)",,"(np.float64(30.214586219996914), np.float64(22.810593811069495))","(1.7921108289199, 0.050722773342427266)"
"(np.float64(-1.8524359610089274), np.float64(-0.1208659006700654), 0.07760703552507997)",,"(np.float64(29.81208714886839), np.float64(23.125318118610085))","(1.9194385693508826, 0.08792734745085622)"
"(np.float64(-1.8115117829611762), np.float64(-0.06430133963767892), 0.01482540155787293)",,"(np.float64(30.134041446353823), np.float64(23.19262172536989))","(1.713449882945424, 0.11305671281788338)"
"(np.float64(-1.784861876901243), np.float64(-0.08044581980953257), 0.0627690226847242)",,"(np.float64(29.797174484672897), np.float64(22.301384558111874))","(1.8479213167750852, 0.06382767135808069)"
"(np.float64(-1.82377842651438), np.float64(0.0009263918057511936), 0.0192858219674375)",,"(np.float64(29.769320895930473), np.float64(23.565811198633142))","(1.816873524999065, 0.08664127421592398)"
