x,y
[50.0000000000000],[-0.00189086200653132],[1.56791625430557]
[50.0005360949600],[0.184248021543869],[1.57713522796620]
[49.9994364372325],[0.357723355684676],[1.58148374219532]
[49.9974131670942],[0.547029472143615],[1.58658089397041]
[49.9944666211210],[0.733686554548090],[1.59788448236921]
[49.9896518833565],[0.911386363600580],[1.60411753501261]
[49.9839228352361],[1.08325671115043],[1.61418933180896]
[49.9762814658475],[1.25924297140442],[1.61763571111551]
[49.9680523768172],[1.43480185757976],[1.62215571431888]
[49.9588624557121],[1.61357811983653],[1.62868802143808]
[49.9480724637471],[1.79975223866002],[1.63886297323409]
[49.9352130476731],[1.98838427933034],[1.64517185767586]
[49.9216345951823],[2.17061364555949],[1.64645297737066]
[49.9085139740706],[2.34370586706873],[1.65223525695739]
[49.8940824507553],[2.52052062192018],[1.66051469899450]
[49.8772279850141],[2.70787599118129],[1.67090411098256]
[49.8589364579999],[2.88998353692716],[1.67553708228595]
[49.8399033363229],[3.07103501853575],[1.68577515240830]
[49.8194856769151],[3.24782935605549],[1.69971042637081]
[49.7967117925701],[3.42350902082528],[1.70306688906807]
[49.7717094333693],[3.61142974042288],[1.70812309116264]
[49.7468023453529],[3.79165913458020],[1.71696099981633]
[49.7193999801862],[3.97779812223749],[1.72040722657208]
[49.6920638074106],[4.15914793557408],[1.72616999051305]
[49.6643120190236],[4.33632152521753],[1.73909438125244]
[49.6351621627492],[4.50788690357022],[1.75034079732853]
[49.6042098891151],[4.67842382867280],[1.75404219801647]
[49.5700957475340],[4.86250133981836],[1.76089016280463]
[49.5333680217708],[5.05337687519359],[1.76405982608587]
[49.4992709703770],[5.22760260077723],[1.77197845485108]
[49.4649656224810],[5.39581469209101],[1.77873048773271]
[49.4274480967187],[5.57363660604872],[1.79047106221722]
[49.3878658256205],[5.75091464448044],[1.80116572664476]
[49.3486037552895],[5.91831992376666],[1.80986707008427]
[49.3053286423706],[6.09587194557983],[1.82009632861526]
[49.2627901365542],[6.26295405293048],[1.82581898786138]
[49.2151433615088],[6.44571954122873],[1.83483830024697]
[49.1695496123512],[6.61436401872466],[1.83940426884560]
[49.1213804850368],[6.78935901319435],[1.84433410651583]
[49.0712394333049],[6.96806998446136],[1.85165085611284]
[49.0231077059379],[7.13491611065943],[1.85792457369949]
[48.9720340993536],[7.30787813866503],[1.86594033143533]
[48.9185791748610],[7.48370309815473],[1.86690547641662]
[48.8659259961253],[7.65629222519909],[1.87775582875030]
[48.8094992740619],[7.83430670340117],[1.88818883011899]
